pdb_id,chain_num,chain_ids,gap_num,gap_len,gap_start_end_ids,is_gap_in_ss,is_gap_on_terminal_end,hetatm,unk,a,b,c,alpha,beta,gamma,sp.gp.,Z
2cl3,1,A,1,5,134-138,False,False,0,0,79.92,79.92,72.22,90.000,90.0,120.0,P 31 2 1,6.0
3uc9,1,A,1,4,150-153,False,False,0,0,61.638,61.638,95.144,90.000,90.0,120.0,P 65,6.0
1lb4,1,A,1,4,465-468,False,False,0,0,32.183,55.581,47.709,90.000,100.97,90.0,P 1 21 1,2.0
4kef,1,A,1,6,73-78,False,False,0,0,28.096,69.544,32.048,90.000,100.56,90.0,P 1 21 1,2.0
5mlp,1,A,1,4,120-123,False,False,0,0,43.936,63.059,49.615,90.000,113.06,90.0,P 1 21 1,2.0
3umf,1,A,1,6,134-139,False,False,0,0,82.695,82.695,66.73,90.0,90.0,90.0,P 41 21 2,8.0
1lf4,1,A,1,6,238-243,False,False,0,0,52.659,39.567,90.532,90.0,105.54,90.0,P 1 2 1,2.0
6egc,1,A,1,4,75-78,False,False,0,0,41.253,49.36,41.239,90.0,104.3,90.0,P 1 21 1,2.0
5f5d,1,A,1,8,245-252,False,False,0,0,71.185,98.147,62.999,90.0,90.0,90.0,C 2 2 21,8.0
4nlb,1,A,1,7,416-422,False,False,0,0,39.5,92.66,49.91,90.0,104.81,90.0,P 1 21 1,2.0
3t8r,1,A,1,4,87-90,False,False,0,0,77.104,52.504,33.443,90.0,98.52,90.0,C 1 2 1,4.0
6hhn,1,A,1,5,61-65,False,False,0,0,70.913,70.913,54.407,90.0,90.0,90.0,P 43 21 2,8.0
1nwm,1,X,1,7,237-243,False,False,0,0,76.66,76.66,60.816,90.0,90.0,120.0,H 3,9.0
2f8h,1,A,1,6,181-186,False,False,0,0,94.133,95.226,43.613,90.0,93.76,90.0,C 1 2 1,4.0
3i5m,1,A,1,5,171-175,False,False,0,0,45.421,50.715,68.051,90.0,103.18,90.0,P 1 21 1,2.0
2c7z,1,A,1,7,177-183,False,False,0,0,73.395,95.821,56.125,90.0,90.0,90.0,P 21 21 2,4.0
4p9l,1,A,1,4,1122-1125,False,False,0,0,36.738,66.989,67.232,90.0,90.0,90.0,P 2 21 21,4.0
3tir,1,A,1,4,148-151,False,False,0,0,92.559,92.559,49.985,90.0,90.0,120.0,P 6,6.0
7myx,1,A,1,6,43-48,False,False,0,0,84.786,33.627,42.352,90.0,119.333,90.0,C 1 2 1,4.0
4fgb,1,A,1,8,54-61,False,False,0,0,91.046,67.7,56.138,90.0,99.75,90.0,C 1 2 1,4.0
5ee0,1,A,1,8,99-106,False,False,0,0,58.618,66.93,66.945,90.0,112.67,90.0,P 1 21 1,2.0
1jon,1,A,1,5,302-306,False,False,0,0,91.67,91.67,38.33,90.0,90.0,120.0,P 31 2 1,6.0
4gu2,1,A,1,4,7-10,False,False,0,0,49.798,49.798,63.83,90.0,90.0,120.0,P 32 2 1,6.0
1ufk,1,A,1,6,96-101,False,False,0,0,81.862,76.0,62.129,90.0,130.32,90.0,C 1 2 1,4.0
3uh8,1,A,1,5,59-63,False,False,0,0,41.06,41.06,54.78,90.0,90.0,120.0,P 31,3.0
1yks,1,A,1,8,397-404,False,False,0,0,55.018,43.801,93.069,90.0,104.0,90.0,P 1 21 1,2.0
3ugu,1,A,1,6,70-75,False,False,0,0,66.964,71.583,79.7,90.0,90.0,90.0,P 21 21 21,4.0
2pyk,1,A,1,5,46-50,False,False,0,0,48.967,48.967,63.773,90.0,90.0,90.0,P 41,4.0
2ove,1,A,1,8,42-49,False,False,0,0,42.227,59.775,71.901,90.0,90.0,90.0,P 21 21 21,4.0
4nxp,1,A,1,5,851-855,False,False,0,0,45.843,45.843,71.362,90.0,90.0,120.0,P 32 2 1,6.0
2v6h,1,A,1,4,181-184,False,False,0,0,48.848,48.848,95.132,90.0,90.0,90.0,I 41,8.0
5ii6,1,A,1,5,118-122,False,False,0,0,39.539,50.013,51.751,90.0,90.0,90.0,P 21 21 21,4.0
1u3j,1,A,1,5,286-290,False,False,0,0,62.817,62.817,65.799,90.0,90.0,90.0,P 41 21 2,8.0
1zuh,1,A,1,8,111-118,False,False,0,0,94.494,94.494,39.299,90.0,90.0,90.0,P 42 21 2,8.0
7e52,1,A,1,5,37-41,False,False,0,0,90.1,60.11,73.75,90.0,125.445,90.0,C 1 2 1,4.0
1snq,1,A,1,6,45-50,False,False,0,0,49.18,49.18,63.51,90.0,90.0,90.0,P 41,4.0
6n2l,1,A,1,7,61-67,False,False,0,0,38.21,71.4,76.73,90.0,90.0,90.0,C 2 2 21,8.0
3q9p,1,A,1,7,126-132,False,False,0,0,76.313,76.313,65.057,90.0,90.0,120.0,P 6 2 2,12.0
1z0p,1,A,1,4,34-37,False,False,0,0,67.583,67.583,28.592,90.0,90.0,120.0,P 3 2 1,6.0
1az5,1,A,1,4,48-51,False,False,0,0,45.4,45.4,87.9,90.0,90.0,120.0,P 32 2 1,6.0
1nxx,1,A,1,4,54-57,False,False,0,0,80.756,92.416,36.662,90.0,90.0,90.0,C 2 2 21,8.0
1u9p,1,A,1,5,64-68,False,False,0,0,29.181,62.916,30.38,90.0,102.69,90.0,P 1 21 1,2.0
4hfl,1,A,1,4,145-148,False,False,0,0,84.283,84.283,43.452,90.0,90.0,120.0,P 32 2 1,6.0
1df4,1,A,1,5,34-38,False,False,0,0,52.383,52.383,60.982,90.0,90.0,120.0,H 3,9.0
3nwm,1,A,1,4,149-152,False,False,0,0,41.347,88.527,61.203,90.0,102.92,90.0,P 1 21 1,2.0
2ova,1,A,1,7,42-48,False,False,0,0,42.256,58.938,71.996,90.0,90.0,90.0,P 21 21 21,4.0
5u6f,1,A,1,4,272-275,False,False,0,0,34.548,51.604,81.206,90.0,101.6,90.0,P 1 21 1,2.0
2eng,1,A,1,4,113-116,False,False,0,0,42.11,51.68,45.06,90.0,109.37,90.0,P 1 21 1,2.0
4rl1,1,A,1,8,319-326,False,False,0,0,47.21,74.29,82.42,90.0,90.0,90.0,P 21 21 21,4.0
6k1t,1,A,1,6,213-218,False,False,0,0,43.943,67.313,55.571,90.0,112.55,90.0,P 1 21 1,2.0
6d2q,1,A,1,7,283-289,False,False,0,0,56.031,59.436,97.462,90.0,90.0,90.0,P 21 21 21,4.0
4gs3,1,A,1,8,81-88,False,False,0,0,55.56,41.18,38.78,90.0,94.8,90.0,C 1 2 1,4.0
8ahp,1,A,1,6,125-130,False,False,0,0,55.318,69.323,99.641,90.0,90.0,90.0,P 21 21 21,4.0
2qf5,1,A,1,5,245-249,False,False,0,0,81.998,48.283,48.429,90.0,115.32,90.0,C 1 2 1,4.0
2pw7,1,A,1,5,46-50,False,False,0,0,48.275,48.275,63.306,90.0,90.0,90.0,P 41,4.0
1snp,1,A,1,6,45-50,False,False,0,0,49.01,49.01,63.66,90.0,90.0,90.0,P 41,4.0
1e4f,1,T,1,6,321-326,False,False,0,0,47.62,53.52,78.31,90.0,93.44,90.0,P 1 21 1,2.0
4lvr,1,A,1,4,45-48,False,False,0,0,75.07,75.07,93.33,90.0,90.0,120.0,P 64 2 2,12.0
5ygb,1,A,1,4,393-396,False,False,0,0,72.237,72.237,50.575,90.0,90.0,90.0,P 41,4.0
1ge8,1,A,1,8,118-125,False,False,0,0,89.682,89.682,63.269,90.0,90.0,120.0,P 63,6.0
5lzn,1,A,1,4,1138-1141,False,False,0,0,96.36,96.36,63.27,90.0,90.0,90.0,I 4 2 2,16.0
1hcl,1,A,1,4,37-40,False,False,0,0,73.12,72.72,54.25,90.0,90.0,90.0,P 21 21 21,4.0
4xro,1,A,1,8,178-185,False,False,0,0,90.51,90.51,57.2,90.0,90.0,120.0,P 6,6.0
2idc,1,A,1,7,158-164,False,False,0,0,44.431,52.094,86.676,90.0,90.0,90.0,P 21 21 21,4.0
1r9w,1,A,1,7,232-238,False,False,0,0,70.54,46.24,43.19,90.0,94.01,90.0,C 1 2 1,4.0
3coi,1,A,1,8,175-182,False,False,0,0,66.271,71.305,97.933,90.0,90.0,90.0,P 21 21 21,4.0
2nxc,1,A,1,5,97-101,False,False,0,0,81.521,76.557,61.878,90.0,130.01,90.0,C 1 2 1,4.0
3jrz,1,A,1,5,48-52,False,False,0,0,58.506,43.624,37.489,90.0,110.01,90.0,C 1 2 1,4.0
7o1d,1,A,1,5,183-187,False,False,0,0,36.56,69.63,45.72,90.0,99.29,90.0,P 1 21 1,2.0
2boe,1,X,1,4,82-85,False,False,0,0,43.043,66.188,81.046,90.0,90.0,90.0,P 21 21 21,4.0
1cec,1,A,1,8,95-102,False,False,0,0,51.4,84.33,87.5,90.0,90.0,90.0,P 21 21 21,4.0
3erb,1,A,1,7,54-60,False,False,0,0,60.06,60.06,61.687,90.0,90.0,120.0,P 31,3.0
4bob,1,A,1,4,143-146,False,False,0,0,27.03,55.13,81.37,90.0,90.0,90.0,P 21 21 21,4.0
1se2,1,A,1,4,101-104,False,False,0,0,43.43,69.92,42.22,90.0,90.1,90.0,P 1 21 1,2.0
4f80,1,A,1,4,184-187,False,False,0,0,40.055,77.988,98.689,90.0,90.0,90.0,P 21 2 21,4.0
7bnp,1,A,1,6,25-30,False,False,0,0,42.706,45.471,58.1,90.0,108.88,90.0,C 1 2 1,4.0
2qz6,1,A,1,5,123-127,False,False,0,0,43.6,69.7,53.9,90.0,90.9,90.0,P 1 21 1,2.0
1tqo,1,A,1,6,44-49,False,False,0,0,33.82,59.43,73.42,90.0,90.0,90.0,P 21 21 21,4.0
3pok,1,A,1,7,80-86,False,False,0,0,42.595,42.595,88.002,90.0,90.0,90.0,P 41,4.0
3vvv,1,A,1,6,81-86,False,False,0,0,36.61,37.46,90.4,90.0,90.0,90.0,P 21 21 21,4.0
5jx1,1,A,1,6,47-52,False,False,0,0,45.812,80.534,36.834,90.0,90.0,90.0,C 2 2 21,8.0
1iiw,1,A,1,5,21-25,False,False,0,0,97.258,49.483,56.374,90.0,117.32,90.0,C 1 2 1,4.0
5cj8,1,A,1,6,142-147,False,False,0,0,27.215,46.464,66.98,90.0,93.25,90.0,P 1 21 1,2.0
1bgd,1,A,1,7,130-136,False,False,0,0,99.2,36.2,48.6,90.0,96.4,90.0,C 1 2 1,4.0
3vxg,1,A,1,5,93-97,False,False,0,0,55.02,68.3,68.93,90.0,90.0,90.0,P 21 21 21,4.0
6kty,1,A,1,7,86-92,False,False,0,0,97.811,97.811,83.057,90.0,90.0,90.0,I 4 2 2,16.0
1k33,1,A,1,4,33-36,False,False,0,0,51.853,51.853,60.7,90.0,90.0,120.0,H 3,9.0
2ap3,1,A,1,4,100-103,False,False,0,0,32.24,45.762,72.485,90.0,90.66,90.0,P 1 21 1,2.0
3gng,1,A,1,6,342-347,False,False,0,0,58.776,60.087,68.628,90.0,95.34,90.0,P 1 21 1,2.0
4ttw,1,A,1,7,54-60,False,False,0,0,98.04,29.3,63.72,90.0,126.99,90.0,C 1 2 1,4.0
5yed,1,A,1,4,57-60,False,False,0,0,32.613,44.801,45.607,90.0,95.42,90.0,P 1 21 1,2.0
8oxi,1,A,1,8,40-47,False,False,0,0,50.405,53.864,61.813,90.0,90.0,90.0,C 2 2 21,8.0
2zty,1,A,1,4,143-146,False,False,0,0,75.78,64.43,40.31,90.0,115.67,90.0,C 1 2 1,4.0
4n6l,1,A,1,6,77-82,False,False,0,0,42.73,68.6,40.28,90.0,90.0,90.0,P 21 21 2,4.0
1fcq,1,A,1,7,65-71,False,False,0,0,39.886,90.229,49.06,90.0,92.36,90.0,P 1 21 1,2.0
5t4x,1,A,1,6,111-116,False,False,0,0,27.662,56.534,89.101,90.0,90.0,90.0,P 21 21 21,4.0
4p9i,1,A,1,5,1122-1126,False,False,0,0,36.29,66.23,66.98,90.0,90.0,90.0,P 2 21 21,4.0
4yno,1,A,1,8,173-180,False,False,0,0,60.923,69.405,92.506,90.0,90.0,90.0,P 21 21 21,4.0
3ksn,1,A,1,5,27-31,False,False,0,0,60.357,60.357,79.251,90.0,90.0,120.0,P 32 2 1,6.0
4k2o,1,A,1,8,482-489,False,False,0,0,73.831,80.127,97.905,90.0,90.0,90.0,I 2 2 2,8.0
1up1,1,A,1,6,93-98,False,False,0,0,37.99,43.94,55.75,90.0,94.2,90.0,P 1 21 1,2.0
2jjw,1,A,1,4,97-100,False,False,0,0,76.39,76.39,78.24,90.0,90.0,120.0,P 64 2 2,12.0
2qr3,1,A,1,5,58-62,False,False,0,0,56.044,56.044,73.622,90.0,90.0,120.0,P 31 2 1,6.0
1iw2,1,A,1,8,41-48,False,False,0,0,42.14,58.904,71.214,90.0,90.0,90.0,P 21 21 21,4.0
2gau,1,A,1,5,67-71,False,False,0,0,76.723,76.723,86.32,90.0,90.0,90.0,P 41 21 2,8.0
4g3n,1,A,1,7,539-545,False,False,0,0,38.7,80.519,88.182,90.0,90.0,90.0,P 21 21 21,4.0
5k1g,1,A,1,4,18-21,False,False,0,0,73.871,73.871,62.254,90.0,90.0,120.0,P 32 2 1,6.0
7x77,1,A,1,6,215-220,False,False,0,0,68.173,92.36,52.646,90.0,90.0,90.0,P 21 21 2,4.0
2uuw,1,A,1,7,377-383,False,False,0,0,58.012,91.397,95.45,90.0,90.0,90.0,P 21 21 21,4.0
1ceo,1,A,1,8,95-102,False,False,0,0,51.4,84.33,87.5,90.0,90.0,90.0,P 21 21 21,4.0
2rjd,1,A,1,4,336-339,False,False,0,0,85.518,94.195,59.009,90.0,90.0,90.0,P 21 21 2,4.0
6lhz,1,A,1,4,30-33,False,False,0,0,79.082,79.082,48.687,90.0,90.0,90.0,P 4 21 2,8.0
1u36,1,A,1,4,287-290,False,False,0,0,63.087,63.087,65.279,90.0,90.0,90.0,P 41 21 2,8.0
2opw,1,A,1,4,207-210,False,False,0,0,91.97,91.97,81.61,90.0,90.0,120.0,P 31 2 1,6.0
1ha1,1,A,1,6,93-98,False,False,0,0,37.6,43.5,55.5,90.0,94.7,90.0,P 1 21 1,2.0
2z13,1,A,1,5,57-61,False,False,0,0,95.46,35.28,39.15,90.0,112.64,90.0,C 1 2 1,4.0
5e1l,1,A,1,4,-2-1,False,False,0,0,65.976,46.741,62.91,90.0,105.74,90.0,C 1 2 1,4.0
1qnt,1,A,1,5,37-41,False,False,0,0,71.877,71.877,72.578,90.0,90.0,120.0,P 31 2 1,6.0
2xxc,1,B,1,4,97-100,False,False,0,0,80.208,80.208,52.686,90.0,90.0,90.0,P 41 21 2,8.0
2z14,1,A,1,5,57-61,False,False,0,0,95.455,35.279,39.15,90.0,112.64,90.0,C 1 2 1,4.0
6vo7,1,A,1,4,199-202,False,False,0,0,71.548,83.914,63.988,90.0,90.0,90.0,C 2 2 21,8.0
4oun,1,A,1,6,107-112,False,False,0,0,41.092,62.028,89.388,90.0,90.0,90.0,C 2 2 21,8.0
5x1r,1,A,1,5,214-218,False,False,0,0,59.1,65.5,78.3,90.0,90.0,90.0,P 2 21 21,4.0
